,keyword,importance,total_importance
745,"state mvd vehicle report, additional tax lien, business carvana, carvana, actual state document",0.5273-0.5065-0.4726-0.4175-0.414,2.34
746,"bank * * * * * fargo, carvana * * * *, carvana * * * * *, carvana * * * * * * *, bank",0.5052-0.3983-0.3969-0.3964-0.3843,2.08
747,"addtional cost, charge, cost, return vehicle, vehichle",0.4838-0.3573-0.3557-0.3519-0.2699,1.82
748,"dual top group package, soft top, dual top, hard top, jeep wrangler",0.4964-0.4949-0.488-0.4359-0.4286,2.34
749,"carvana, dealership, refund, car today, deposit",0.5686-0.4079-0.3682-0.3416-0.322,2.01
750,"vehicle carvana, refund ticket, refund, carvana, vehicle",0.4962-0.4763-0.4302-0.3956-0.3166,2.11
751,"stars, car, call, company, buy",0.3605-0.3493-0.2687-0.2564-0.245,1.48
752,"vehicle carvana, carvana, vehicle, cars life, car",0.6246-0.4744-0.4213-0.4058-0.3719,2.3
753,"silver rock warranty coverage carvana, carvana purchase, car warranties, inadequate funds, warranty coverage",0.6303-0.496-0.4692-0.4576-0.4146,2.47
754,"carvana, car dealership, dealership, wrong vehicle, vehicle",0.5714-0.48-0.4754-0.4301-0.4185,2.38
755,"emissions test, day quarantee, * * * inspection, 1st car, inspection",0.4036-0.3868-0.3748-0.3725-0.37,1.91
756,"financing, financing stage, customer service rep, customer service, finance department",0.4049-0.3106-0.299-0.2944-0.2892,1.6
757,"car dealership, dealership, got car, transmission problems, car",0.4233-0.4202-0.338-0.3371-0.3169,1.84
758,"rescheduling, rescheduled, reschedule, customer service rep, customer service",0.4538-0.4457-0.4292-0.3876-0.3811,2.1
759,"car buying process, car buying, buying process, dealer, financing",0.4367-0.4289-0.3798-0.3477-0.3273,1.92
760,"financing, pre approval, loan, approval, pre",0.5902-0.5357-0.5279-0.3779-0.3647,2.4
761,"useless, inspection, carfax, battery, faulty battery",0.4571-0.4372-0.3456-0.3147-0.2744,1.83
762,"carvana, car, received, smells, everything",0.4113-0.3931-0.3814-0.2898-0.2463,1.72
763,"carvana, dealers, carvana!i, sell, final offer",0.4149-0.3817-0.3769-0.3417-0.319,1.83
764,"downpayment, horrific experience, worst experience, customer service, repairs",0.4327-0.3293-0.3157-0.2791-0.2581,1.61
765,"transport issue, transport company, hail, deliver, vehicle",0.4066-0.4027-0.3447-0.3409-0.3271,1.82
766,"key fob, fob, speakers, door, car",0.5323-0.4029-0.2856-0.2673-0.2649,1.75
767,"ac compressor, warranty coverage, ac, warranty, purchasing",0.4331-0.3686-0.3427-0.2826-0.2565,1.68
768,"temporary plates, temporary plate, 2nd temporary plate, * * * * * hours processing time, permanent plates",0.4586-0.4318-0.4289-0.3882-0.3862,2.09
769,"dealer contact, dealer, carvana, selling process, selling",0.4952-0.3953-0.3781-0.37-0.3152,1.95
770,"car a2016 momentum * * * * *, vibration, repair, rotors, brakes",0.483-0.3983-0.3177-0.2975-0.2907,1.79
771,"infinti q50, new transmission, whole transmission, transmission, carvan",0.544-0.4368-0.3712-0.37-0.29,2.01
772,"lightning, vehicle delivery, delivery date, time delivery, delayed",0.3639-0.3566-0.3354-0.3108-0.2946,1.66
773,"car carvana, pickup driver, doorbell, customer service, customer",0.4257-0.3656-0.3646-0.3557-0.3487,1.86
774,"car buying experience, whole car buying experience, car buying, buying experience, car trade",0.7093-0.6785-0.5348-0.5121-0.4277,2.86
775,"carvarna, charge, vehicle, vehicles, deliver",0.4166-0.3714-0.3589-0.3346-0.3242,1.81
776,"worst car buying experience, worst car buying, car buying experience, car buying, worst car",0.7071-0.6237-0.6001-0.4917-0.4683,2.89
777,"reliable vehicles, carvana, loan, warranty, day warranty",0.4424-0.3491-0.3418-0.3415-0.3165,1.79
778,"registration, transfer, cars, plates, awful",0.4003-0.3104-0.2701-0.2453-0.2218,1.45
779,"sunroof, repair, inspection, front bumper, customers",0.3662-0.3141-0.2997-0.2889-0.2774,1.55
780,"delays, compensation, customer rep, delay, car carvana",0.3989-0.3572-0.3521-0.338-0.3357,1.78
781,"insurance, disaster, car, cancel, joke",0.4864-0.4695-0.392-0.3136-0.2458,1.91
782,"horrible ethics, horrible, worst, delivery, order",0.5254-0.4543-0.4118-0.3792-0.3116,2.08
783,"dealerships, purchase process, appointment, transaction, business ethics",0.4043-0.3844-0.3147-0.2603-0.2443,1.61
784,"second loan, dealership, car carvana, loan, carvana",0.4579-0.4506-0.4298-0.3996-0.3207,2.06
785,"customer service, deliver, delivery, contact customer service, return documents",0.3937-0.379-0.3766-0.3692-0.3314,1.85
786,"trucks location, pickup location, different customer service, customer service team, customer service",0.529-0.5107-0.442-0.4396-0.4251,2.35
787,"verification documents, customer service, customer service agents, exact transaction, additional documents",0.4241-0.4024-0.3783-0.3595-0.3482,1.91
788,"* dealership, dealership, * * * * dealership, * * * * * * tacoma, tacoma",0.422-0.417-0.4028-0.3786-0.3454,1.97
789,"down-payment.paid, refund, delivery fee, insurance, payment",0.3972-0.3972-0.3309-0.2992-0.2851,1.71
790,"vehicle carvana, calls carvana, carvana zero stars, carvana, repair bill",0.4886-0.455-0.4518-0.4249-0.3953,2.22
791,"onsite dealership, dealership, inspection, dealerships, point inspection",0.5636-0.4507-0.4197-0.4031-0.3095,2.15
792,"title transfer, transfer, documents, sign, phone call",0.4337-0.3124-0.2968-0.2747-0.2096,1.53
793,"inspection, point inspection, rotors, brakes, horrible experience",0.5421-0.4656-0.4054-0.3546-0.3189,2.09
794,"emails, unsubscribed button, real email address, * * * * * * email, email",0.468-0.4658-0.45-0.4305-0.4112,2.23
795,"customer service, customer, scam, carvana, big scam",0.476-0.3945-0.3815-0.3686-0.3629,1.98
796,"car key, key ring, valet key, extra key, new remote key",0.6324-0.5107-0.4853-0.4496-0.4446,2.52
797,"kia * * * *, kia * * * * *, kia * *, kia * * * * * *, kia * * * * * * *",0.4119-0.4101-0.4091-0.4066-0.4037,2.04
798,"insurance, customer service, documents, customer, service",0.477-0.3614-0.337-0.2528-0.2354,1.66
799,"car dealership, dealership, carvanas, vehicle, negative stars",0.488-0.4458-0.4014-0.3634-0.358,2.06
800,"refund, cancel, customers, purchase, timer",0.5043-0.3847-0.3466-0.3222-0.2628,1.82
801,"carvana, car dealerships, dealership, dealerships, parking break",0.5244-0.4714-0.4519-0.4421-0.3955,2.29
802,"* gmc truck, truck, reviews, much, good reviews",0.4794-0.3478-0.244-0.2227-0.2217,1.52
803,"carvana, dealership, carmax, entire buying process, buying process",0.4451-0.4232-0.3703-0.342-0.3048,1.89
804,"inspection, point inspection, * * * * f-150, new tires, low mileage truck",0.4202-0.3798-0.3353-0.3319-0.3191,1.79
805,"hidden delivery fee, delayed, refund, delivery fees, insurance",0.4053-0.3788-0.3492-0.3254-0.3242,1.78
806,"bmw mechanic shop, worst car, warranty, bumper, tps sensor malfunction",0.3725-0.3076-0.3061-0.2729-0.2725,1.53
807,"scam company, scam, insurance coverage, insurance, contract",0.5081-0.4742-0.4439-0.4203-0.3321,2.18
808,"carvana, carvana * * * *, carvana * * * * *, carvana * * * * * * *, new vehicle",0.4716-0.467-0.4634-0.4574-0.4151,2.27
809,"dealerships, carvana app, carvana, vehicle, used vehicle",0.46-0.3705-0.3673-0.363-0.3482,1.91
810,"jeep compass, jeep dealership, jeep, dealership repair, preferred repair facility(mr",0.4434-0.4433-0.3924-0.3655-0.3575,2.0
811,"work van, van, approved, credit, great credit",0.4684-0.3807-0.3628-0.3309-0.3044,1.85
812,"vehicle loan, local reputable dealer, jeep grand cherokee, uber, new vehicle",0.5536-0.4741-0.4081-0.3927-0.3789,2.21
813,"business carvana, incomplete paperwork, carvana, car process, new car",0.447-0.3662-0.3611-0.342-0.329,1.85
814,"refund process, refund, customer service, customer service agents, finance paperwork",0.4483-0.3974-0.358-0.3474-0.2808,1.83
815,"car buying experience, overall car buying experience, car buying, carvana, car arrival",0.5379-0.5345-0.4465-0.4327-0.3742,2.33
816,"worst company, company, business, aweful things, worst",0.7616-0.5226-0.4578-0.4109-0.2808,2.43
817,"carvana 10min, carvana, * * * carvana, * * * * * carvana, delay",0.5103-0.4488-0.4058-0.3993-0.3724,2.14
818,"rescheduling delivery, delivery date, refund, rescheduling, delivery",0.5573-0.4802-0.4673-0.3943-0.3941,2.29
819,"delivery fee, delivery, contact, delivered, text messages",0.4885-0.3938-0.3313-0.3108-0.2853,1.81
820,"lease, carvana, used car place, used car, payoff",0.4811-0.4277-0.3979-0.2921-0.2789,1.88
821,"customer service, customer service number, reimbursement, shipping cost, customer",0.4509-0.4382-0.351-0.3445-0.3431,1.93
822,"front license plate, license plate, delivery, vehicle, deliver",0.4978-0.4917-0.4477-0.4425-0.419,2.3
823,"insurance premium, insurance, delivery date, rescheduled, next reschedule",0.3954-0.3885-0.3332-0.3264-0.3046,1.75
824,"monday caravan, bank account, caravan, bank, car",0.3815-0.3746-0.3604-0.3409-0.3225,1.78
825,"customer service, insurance policy, online notary, insurance, customer",0.3539-0.3142-0.3076-0.2924-0.2896,1.56
826,"carvanna, * * * * * * law, * * * * * law, * * * * law, * * law",0.4428-0.4101-0.4064-0.4-0.3806,2.04
827,"shipping delay excuse, shipping delay, shipping complications, vehicle insurance, hour delivery window",0.6296-0.4899-0.4615-0.4358-0.3908,2.41
828,"customer service, customer service representative, carvana, customer, vehicle",0.4263-0.4087-0.4041-0.3669-0.34,1.95
829,"second delivery date, delivery fee, delivery date, delivery, different pay stub",0.4632-0.4547-0.3889-0.3285-0.3049,1.94
830,"new state inspection stickers, state inspection, dealers fees, nonrefundable onetime delivery fee, hidden fees",0.5262-0.4791-0.4655-0.4406-0.4211,2.33
831,"scam!you, carvana, trading, sell, investor money",0.4748-0.4235-0.3332-0.3276-0.2724,1.83
832,"inspection, quality vehicle, strong dog odor, air freshener scent, inoperative key",0.3812-0.3243-0.3106-0.2815-0.2798,1.58
833,"carvana, * * * * * * * carvana, * * * carvana, * * * * * carvana, lemon",0.5048-0.4749-0.4749-0.4727-0.4213,2.35
834,"unsatisfied potential customer, business carvana, appointment, zip code, miles",0.339-0.3328-0.2671-0.2423-0.2377,1.42
835,"registration, paperwork, extention paperwork, month nothing, dmv",0.4448-0.3357-0.3088-0.2857-0.2791,1.65
836,"buick encore, buick, engine light, engine, car",0.6013-0.5294-0.5091-0.3318-0.2789,2.25
837,"car delivery, car dealership, dealership, deliver, delivery",0.5523-0.4617-0.4365-0.4249-0.4225,2.3
838,"cars delivery, date, bbb, delivery, customer service",0.4442-0.3796-0.3787-0.3605-0.3001,1.86
839,"payoff amount, delayed, payoff, 2nd delivery date, delivery date",0.3865-0.3828-0.382-0.3394-0.3344,1.83
840,"substantial dent, silver rock claim, dent, carvana customer, vehicle carvana",0.5166-0.4714-0.4529-0.444-0.4395,2.32
841,"car carvana, carvana, vehicle, wrong vehicle, car",0.7139-0.6464-0.417-0.4094-0.3546,2.54
842,"clutch, turbo, june, miles, may",0.4383-0.3198-0.3059-0.2641-0.258,1.59
843,"delivery window, earliest deliver window, time delivery, reschedule, rescheduled",0.4372-0.406-0.4046-0.3655-0.3409,1.95
844,"* * compressor, repair, vw, hole breaks system, passenger side mirror",0.4314-0.3896-0.3734-0.3638-0.3452,1.9
845,"car carvana, carvana, carvanaisascam, final swap, faulty car",0.5549-0.4883-0.3883-0.3777-0.3647,2.17
846,"horrible company, unprofessional * * *, unprofessional, rental cars, towing",0.3919-0.3744-0.3666-0.3344-0.3275,1.79
847,"pick date, refund, payment, date, confirmation",0.409-0.3707-0.2809-0.2766-0.2689,1.61
848,"dispute department, email dispute, customer support, dispute, fraud",0.4732-0.4576-0.4118-0.3507-0.3253,2.02
849,"warranty silver rock, silver rock carvana, warranty, extended warranty, customer service",0.5321-0.4291-0.3934-0.377-0.3219,2.05
850,"carfax report, dishonest trash, carfax, truck, private company",0.4642-0.4105-0.3138-0.3112-0.3054,1.81
851,"underwriters, account, * * * * * * * *, * * * * * * *, * * * * * *",0.5742-0.3631-0.1922-0.187-0.1766,1.49
852,"carvana, sell, false advertising, car, miles",0.5155-0.3469-0.3389-0.3117-0.3033,1.82
853,"shipping fees, shipping fee, shipping charge, carvana, refund",0.4664-0.4495-0.4348-0.4318-0.4211,2.2
854,"rescheduled, day delivery, delivery, work days, worst experience",0.5109-0.5075-0.4182-0.3418-0.2919,2.07
855,"credit score, carmax, credit, co - signer, finance",0.4396-0.4159-0.3817-0.3746-0.3446,1.96
856,"one star, star, carvana, warranty, extended warranty",0.536-0.4972-0.3672-0.333-0.272,2.01
857,"refund, worst experience, delivery, shipping, horrific experience",0.401-0.3121-0.3053-0.3037-0.2867,1.61
858,"vehicle carvana, inspection, carvana, repairs, used vehicle",0.5399-0.4438-0.4074-0.3919-0.3886,2.17
859,"tire, near flat tire, tires, carfax report, low tires",0.3791-0.3606-0.3349-0.3304-0.3217,1.73
860,"kia * *, kia * * * *, kia * * * * *, kia * * * * * *, kia * * * * * * *",0.4685-0.4534-0.447-0.4411-0.435,2.24
861,"carvana financing, financing, carvana, delay delivery, additional fee",0.5569-0.3812-0.3293-0.3044-0.3014,1.87
862,"trash, company, payment deposit, payment, deposit",0.4356-0.3783-0.3779-0.3713-0.3381,1.9
863,"car carvana, temporary plate, carvana, new plate, plate",0.538-0.5015-0.4656-0.4289-0.4079,2.34
864,"car buying, truck, advertised details.steer, approved, quality service",0.4454-0.4051-0.3732-0.3245-0.2906,1.84
865,"carvana, day return policy, return policy, insurance coverage, insurance",0.4868-0.4057-0.3895-0.3785-0.3558,2.02
866,"paystubs, tax statements, absolute worst company, fraudulent, direct deposit",0.4138-0.3651-0.3638-0.3537-0.3516,1.85
867,"compensation, best place, go, place, want",0.2249-0.2039-0.1629-0.1425-0.0059,0.74
868,"* * * * * mile warranty, warranty, car repairs, vehicle * * *, repairs",0.5002-0.4018-0.3619-0.3032-0.3023,1.87
869,"carvana, * * * carvana, misfire, vehicle, vehicles",0.4568-0.4358-0.3605-0.354-0.3492,1.96
870,"temp license, rental car, carvana, insurance, license",0.4372-0.4069-0.3803-0.3073-0.3,1.83
871,"cancel, contract, carvana, reimbursement plans, refund",0.4834-0.3663-0.3559-0.334-0.3239,1.86
872,"refund, shipping fee, shipping, vehicle, happy customer",0.5096-0.4444-0.3756-0.3288-0.3087,1.97
873,"orders vehicle, tow, vehicle, transmission, new car",0.3982-0.3812-0.3331-0.3032-0.2865,1.7
874,"purchase, car, worst nightmare, nightmare, worst",0.2955-0.2626-0.2054-0.1952-0.1019,1.06
875,"carvana customer service, carvana customer, carvana, carvana prior, van",0.5508-0.5476-0.4343-0.3952-0.3649,2.29
876,"excellent customer service, customer service, customer, serious e.g. leaky roof, purchasing",0.6152-0.5038-0.415-0.3912-0.3888,2.31
877,"carvana, vehicle, tire, deliver, tires",0.436-0.3824-0.3562-0.3375-0.3324,1.84
878,"car detailer, detailed cars, stains, cars, poor little peasants",0.406-0.3174-0.3136-0.2956-0.2708,1.6
879,"warranty issue, * programming issue, liable, warranty, program * * *",0.4546-0.4367-0.4173-0.4007-0.3998,2.11
880,"vehicle carvana, carvana, third vehicle, vehicle, misleading company",0.7096-0.5733-0.4959-0.4208-0.3869,2.59
881,"car company, carvana, scam, total scam, advertised features",0.5276-0.4654-0.4375-0.4363-0.4265,2.29
882,"new appointment, appointment, car carvana, charge, carvana",0.3227-0.2982-0.2748-0.2737-0.2326,1.4
883,"registration documents, registration docs, registration, temp tag expiration date, registration process",0.4414-0.4319-0.4287-0.3955-0.3887,2.09
884,"duplicate charges, refund, charges, checking, duplicate",0.5874-0.5605-0.4077-0.2442-0.2328,2.03
885,"equinox, malibu, swap vehicle, bridgecrest, new engine",0.5159-0.3386-0.3067-0.2879-0.2716,1.72
886,"mini * * * * * *, exhaust leaks, mini, mini(this time, mini * * * * * * jcw",0.4016-0.3826-0.3733-0.3416-0.3413,1.84
887,"business carvana, car carvana, warranty, camaro, carvana",0.4937-0.489-0.4521-0.4149-0.3897,2.24
888,"vehicle carvana, return vehicle, carvana, reimburse, dirty suv",0.557-0.4983-0.4288-0.3798-0.3634,2.23
889,"multiple offers, pick, fee, customer service, reviews",0.287-0.2832-0.2774-0.274-0.2686,1.39
890,"diagnostics reports, diagnostics, line diagnostics, car fax, new brakes",0.4942-0.4322-0.385-0.359-0.3494,2.02
891,"car carvana, carvana, vehicle problems, vehicle, refund",0.5471-0.4343-0.4161-0.3875-0.3783,2.16
892,"warranty, real dealer, dealer, tire shops, tire",0.4485-0.417-0.4025-0.3964-0.3826,2.05
893,"car payment, vehicle carvana, defective vehicle, reimburse, warranty",0.4171-0.3873-0.3745-0.3647-0.3428,1.89
894,"windshield, car, rude, responsibility, phone",0.3422-0.3128-0.2659-0.261-0.2495,1.43
895,"registration issue, registration, cosign name, carvana, purchase vehicle",0.4268-0.4112-0.4016-0.384-0.3744,2.0
896,"warranty, payment, 3rd payment, engine, car",0.5621-0.366-0.3322-0.2988-0.2726,1.83
897,"purchase carvana, new wipers, wipers, carvana, reimburse",0.5625-0.4033-0.3557-0.3511-0.3483,2.02
898,"equinox diesel, carvana, diesel, equinox, gas engine",0.4818-0.3214-0.2939-0.2898-0.2588,1.65
899,"payment, buy, paperwork, received, car",0.3256-0.2462-0.2024-0.1944-0.1922,1.16
900,"carvana, delivery date set, customer service, delivery date, customer service advocates",0.4799-0.4255-0.4183-0.4058-0.3631,2.09
901,"warranty repair, camaro, warranty, purchase carvana, repair",0.5592-0.4445-0.4404-0.423-0.4002,2.27
902,"refund, carvana, cancellation, transactions, account",0.5161-0.444-0.4268-0.2634-0.2392,1.89
903,"second car, shipping delay, shipping, customer service, horrible customer service",0.4949-0.3945-0.373-0.3478-0.3384,1.95
904,"tires, repair facilities, tahoe, tread wear, tread",0.3718-0.3314-0.3302-0.3006-0.2946,1.63
905,"original delivery fee, delivery, delivery fee, delivery fees, multiple dealerships",0.3898-0.3802-0.3765-0.3661-0.3595,1.87
906,"extended warranty, warranty, repairs, car window, antifreeze",0.5059-0.4508-0.4033-0.3101-0.3087,1.98
907,"temporary tag, temp tag, denied, confirmation number, tracking number",0.3795-0.3387-0.2964-0.2915-0.2871,1.59
908,"porsche dealer, porsche, terrible warranty department, dealership, wrong vehicle",0.4774-0.424-0.3949-0.378-0.368,2.04
909,"lesser trim package, trim package, price reduction, direct deposit, lower offer",0.4301-0.3798-0.3626-0.3564-0.3335,1.86
910,"robots, dealer, car, selling, actual human",0.4868-0.356-0.2796-0.2627-0.2258,1.61
911,"carvana, chat bot, bot, chat, callback",0.4794-0.427-0.2969-0.2908-0.2175,1.71
912,"jeep parts, jeep, seats, top, parts",0.5793-0.488-0.3324-0.3068-0.2974,2.0
913,"oil leak, oil change, leak, lemon, engine lights",0.572-0.4146-0.3852-0.3354-0.3316,2.04
914,"expired tag, temp tag, day temp tag, rental vehicle, non - refundable booking fees",0.5782-0.459-0.4404-0.3714-0.2828,2.13
915,"customer service, fraud, cancel, deposit, customer",0.3777-0.3519-0.3495-0.2815-0.2813,1.64
916,"inspection, complaint, class action lawsuit, lawsuit, formal complaint",0.4095-0.3919-0.3558-0.3531-0.3518,1.86
917,"carvana, approved, rep, portal, income",0.3814-0.3417-0.2811-0.2768-0.2607,1.54
918,"feedback email, review, delivery fee, new delivery date, feedback",0.5047-0.4896-0.4099-0.4076-0.4018,2.21
919,"online process, chats, online, communication, process",0.5832-0.458-0.4011-0.3587-0.2764,2.08
920,"false advertising, advertising, additional payment, payment, * additional payment",0.5572-0.4035-0.3784-0.3741-0.3639,2.08
921,"car monday, customer service, customer, carvana, car",0.3864-0.3515-0.3087-0.3057-0.3,1.65
922,"scam, sell, doc, car, $",0.5257-0.2619-0.1944-0.1756-0.1536,1.31
923,"business carvana, carvana, * focus, point inspection, inspection",0.6029-0.5444-0.3538-0.3537-0.3484,2.2
924,"soft top, jeep, hardtop, different vehicle, advertised",0.4751-0.4441-0.4433-0.3808-0.3529,2.1
925,"roadside assistance, tow, liable, compensation, vehicle",0.3727-0.3409-0.3396-0.3331-0.2943,1.68
926,"warranty * * * *, warranty * * *, warranty * *, warranty *, inspection",0.4246-0.4238-0.4193-0.4037-0.384,2.06
927,"payment, car carvana, customer service, bank, customer",0.3715-0.3677-0.3317-0.3191-0.2906,1.68
928,"approved car, cancel, carvana loan, check engine, carvana",0.3819-0.3356-0.3175-0.2979-0.2821,1.62
929,"approved, * refund, insurance, con, vehicle",0.3015-0.283-0.283-0.2807-0.2786,1.43
930,"carvana, carvana fan, bank, customer service, account",0.4722-0.4209-0.3721-0.2485-0.2274,1.74
931,"carvana, warranty, bbb complaint, warranty time frame, complaint",0.3985-0.3559-0.3468-0.3459-0.3415,1.79
932,"purchase vehicle, car dealership, dealership, second purchase, carvana",0.5751-0.5402-0.5087-0.4441-0.3648,2.43
933,"carvana, car, paperwork, next day, thursday",0.4631-0.2797-0.2603-0.2513-0.2325,1.49
934,"garbage vehicles, vehicles, bs advertising!!!!!pictures, dealers, junk back!!!silver rock",0.5504-0.5162-0.4909-0.4808-0.4541,2.49
935,"second car, mechanical issues, shipping cost, shipping, 3rd car",0.3169-0.3097-0.3049-0.3031-0.3018,1.54
936,"credit, truck, delivery, claim, system",0.3222-0.306-0.1602-0.1542-0.1298,1.07
937,"downpayment transaction, downpayment, first downpayment, loan, loan applicant",0.5131-0.4497-0.4405-0.377-0.375,2.16
938,"smoker, vehicle carvana, inhaler, smoke, vehicle",0.5231-0.4602-0.3969-0.3831-0.3577,2.12
939,"cars rear caliper, point insertion, sd card, caliper, vehicle",0.4454-0.4327-0.3262-0.3144-0.2564,1.78
940,"loan payoff, day loan payoff, loan, loan amount, initial offer",0.4165-0.3746-0.3641-0.3432-0.3236,1.82
941,"bad rotator disk, silver rock, pay, denied, silver",0.3482-0.3221-0.2898-0.2734-0.2588,1.49
942,"silver rock warranty, silver rock warranty company, jaguar xf, warranty company, warranty",0.4812-0.4783-0.4779-0.4279-0.4166,2.28
943,"old car, car, engine leak, * * * * escape, buy",0.3536-0.335-0.3178-0.297-0.258,1.56
944,"refundable delivery fee, refund, carvana paperwork, delivery fee, crafty delivery fee",0.6014-0.4866-0.4045-0.4026-0.3977,2.29
945,"shipping fee, shipping, faulty cars, fee, negligence",0.5037-0.4196-0.3521-0.3423-0.2875,1.91
946,"carvana, day warranty, warranty, permanent tag, vehicle",0.4821-0.4079-0.3801-0.3756-0.3694,2.02
947,"purchase thur carvana, repairs, carvana, carvana website, carvana team",0.4008-0.394-0.3305-0.3042-0.3014,1.73
948,"car sale, carvana, sale, jetta, sales price",0.4622-0.3559-0.3486-0.328-0.3219,1.82
949,"pre approved, pre approval, approved, approval, vehicle",0.5782-0.5222-0.4156-0.3855-0.3288,2.23
950,"tags, temp plates, plates, employee, service",0.4387-0.4163-0.335-0.2318-0.1999,1.62
951,"vehicle carvana, vehicle maintenance, vehicle, carvana, vehicles",0.6263-0.475-0.4566-0.4409-0.4306,2.43
952,"title issues, carvana, purchase process, vehicle, delayed",0.4114-0.407-0.3391-0.3277-0.2889,1.77
953,"car carvana, carvana, horrible experience, possible buyers, absolutely horrible",0.5541-0.4748-0.3689-0.3347-0.3323,2.06
954,"company carvana, carvana, repairs, back tires need, back tires",0.497-0.4294-0.3677-0.3478-0.341,1.98
955,"registration, fee was$111, fee, poor experience, awful experience",0.501-0.4702-0.3484-0.3279-0.319,1.97
956,"online paperwork, new delivery date, paperwork, jeep, delivery date",0.3882-0.3598-0.331-0.3233-0.3184,1.72
957,"horrible experience, experience, many technical issues, horrible, issues",0.5327-0.3828-0.3484-0.3347-0.2993,1.9
958,"sales tax, taxes, tax, carvana, delivery charges",0.4553-0.4088-0.4009-0.385-0.3719,2.02
959,"warranty, car, breaks, fix, back",0.4829-0.3353-0.31-0.2085-0.1997,1.54
960,"sales tax check, dealership, sales tax, tags, vehicle",0.4746-0.4415-0.3647-0.3338-0.3226,1.94
961,"carvana, dealership, wheel, silver rock warranty company, silver rock warranty",0.5333-0.4746-0.4487-0.4052-0.405,2.27
962,"selling, car carvana, customers, advertised, carvana",0.2895-0.2854-0.2814-0.2524-0.2454,1.35
963,"refund, customer rep, cancel, customer, payment",0.4191-0.3347-0.2878-0.2786-0.2641,1.58
964,"vehicle insurance, insurance, different address, yellow slip, headache",0.4835-0.3663-0.325-0.308-0.2991,1.78
965,"problem carvana, essential coverage, coverage, car carvana, better coverage",0.4867-0.4679-0.4655-0.4344-0.43,2.28
966,"jeep, horrible experience, absolutely horrible, engine wire harness, mechanic",0.445-0.4195-0.3868-0.343-0.3228,1.92
967,"truck, drive, locarion, sell, vehickle",0.4537-0.3212-0.2879-0.2533-0.2517,1.57
968,"refund, carvana, shipping fee, fee, shipping",0.5818-0.4214-0.4012-0.3313-0.3169,2.05
969,"fraudulent thieving company, refundable shipping fee, fraudulent, shipping fee, shipping",0.6829-0.653-0.5135-0.4503-0.3697,2.67
970,"carvana, inspection, warranty company silverrock, warranty silverrock, silverrock warranty",0.4521-0.4425-0.375-0.3645-0.3488,1.98
971,"horrible car buying experience, horrific customer service, car buying experience, customer service, car buying",0.4338-0.3863-0.3635-0.3536-0.3412,1.88
972,"carvana 4x, carvana, company policies, client, clients",0.508-0.426-0.413-0.3482-0.3314,2.03
973,"carvana, local carvana, car bec, delivery, day delivery",0.3952-0.3678-0.3606-0.2827-0.2802,1.69
974,"vehicle carvana, found vehicle, vehicle, purchasing process, car",0.3895-0.3587-0.3298-0.3187-0.3086,1.71
975,"issues loading verification documents, previous appraisal, appraisal, verification documents, paperwork",0.4106-0.3791-0.3437-0.3336-0.3097,1.78
976,"carvana, check engine, dealership repair, engine, check engine light",0.5471-0.5051-0.4499-0.4481-0.4212,2.37
977,"refund, verification process, verification, car insurance, cancel",0.4044-0.4017-0.3509-0.3461-0.3286,1.83
978,"carvana car, tow, car trade, car repairs, carvana",0.4026-0.3976-0.3834-0.3811-0.3318,1.9
979,"car, keys, key, file, information",0.2266-0.2225-0.1834-0.1731-0.1712,0.98
980,"scam, less customer service, customer service, dealer, % apr",0.3739-0.3436-0.3378-0.3337-0.3135,1.7
981,"refund, approved, payment, company, purchase",0.3477-0.2589-0.2434-0.2068-0.1928,1.25
982,"permanent vehicle tags, vehicle tags, carvana business, shady carvana business practice, carvana",0.5063-0.4341-0.4249-0.4212-0.3819,2.17
983,"check engine light, check engine, engine light, warranty company, limited warranty",0.5326-0.4826-0.408-0.3892-0.36,2.17
984,"carvana, car, alternator, ca smog, responsibility",0.4011-0.3993-0.3843-0.3316-0.2785,1.79
985,"registration, documents, financial institution, customers, vehicle",0.4437-0.3951-0.3627-0.3536-0.3482,1.9
986,"reschedule, carvana app, carvana, advocate, minute appointment timeframe",0.4146-0.3708-0.3615-0.3365-0.331,1.81
987,"car payment, customer service, day return policy, carvana, return policy",0.4178-0.3766-0.3652-0.3574-0.3526,1.87
988,"refund, return policy, day return policy, bank, bank loan",0.4689-0.3542-0.3529-0.3172-0.2946,1.79
989,"horrible customer service, horrible customer, vehicle, customer service, customer",0.4695-0.4403-0.4332-0.4005-0.3613,2.1
990,"temporary registration, registration, car carvana, carvana, plates",0.4404-0.4348-0.4269-0.3429-0.3057,1.95
991,"worst company, company, vehicle, business, garage",0.5657-0.4506-0.3866-0.367-0.3415,2.11
992,"worst car buying experience, worst car buying, car buying experience, car buying, financing",0.4867-0.4519-0.4171-0.3836-0.3835,2.12
993,"trust carvana, carvana, refund, specific return time, return",0.4259-0.374-0.3614-0.3187-0.2921,1.77
994,"carvana, cashiers check, purchase vehicle, corporate check, review",0.5159-0.4727-0.4611-0.4333-0.3586,2.24
995,"warranty, extended warranty, inspection, state state goodwill, worst company",0.4843-0.4722-0.3725-0.3697-0.3501,2.05
996,"pickup carvana, financing, pickup, initial pickup, carvana",0.4238-0.3359-0.3356-0.3117-0.2923,1.7
